descricao,preco,modelo,marca,rating,url
Notebook Samsung Book  NP550XDA-KF2BR Intel Core i5-1135G7 8GB 256GB SSD (Intel Iris Xe) Tela 15.6''  Windows 10 FHD - Cinza Chumbo,"R$ 3.562,49",NP550XDA-KF2BR,Samsung,4.3,https://www.americanas.com.br/produto/3081358898?pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB 256GB SSD W10 15.6"" Prata","R$ 3.324,99",IdeaPad 3i,Lenovo,4.4,https://www.americanas.com.br/produto/3171318128?pfm_index=1&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 12GB 1TB Linux 15.6"" Prata","R$ 2.925,61",Ideapad S145,Lenovo,4.1,https://www.americanas.com.br/produto/3383642632?pfm_index=2&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Dell Inspiron I15-3501-A25P Intel Core I3-1005G1 4GB 256GB SSD W10 15.6"" - Preto","R$ 3.077,05",i15-3501-A25P,Dell,4.3,https://www.americanas.com.br/produto/2969521205?pfm_index=3&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KO1BR,"R$ 2.330,94",NP550XDA-KO1BR,Samsung,2.7,https://www.americanas.com.br/produto/3081358732?pfm_index=4&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB (GeForce MX330 2GB) 256GB SSD W10 15.6"" Prata","R$ 3.609,99",IdeaPad 3i,Lenovo,4.5,https://www.americanas.com.br/produto/3171320172?pfm_index=5&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 8GB 256GB SSD W10 15,6"" Prata","R$ 3.134,99",ideapad S145,Lenovo,4.3,https://www.americanas.com.br/produto/3943373603?pfm_index=6&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Acer A515-54-53VN Intel Core I5 8GB 256GB SSD W10 15.6'' IPS FHD - Preto,"R$ 3.421,95",A515-54-53VN,Acer,4.6,https://www.americanas.com.br/produto/3735745003?pfm_index=7&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Positivo Motion Q464C Intel Atom Z8350 4GB eMMC 64GB W10 14.1'' - Vermelho,"R$ 1.424,99",Motion Red,Positivo,2.7,https://www.americanas.com.br/produto/2831155071?pfm_index=8&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Compaq Presario 420 Intel Pentium-N3700 4GB 120GB W10 14,1'' Cinza","R$ 1.619,10",3011933,COMPAQ,3.1,https://www.americanas.com.br/produto/3252219113?pfm_index=9&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Samsung Book Intel Core I7-1165G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD 15.6'' Cinza Chumbo NP550XDA-KS1BR,"R$ 4.402,26",NP550XDA-XF1BR,Samsung,4.2,https://www.americanas.com.br/produto/3081358100?pfm_index=10&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Positivo 2 em 1 Duo C464C Intel Celeron 4GB 64GB W10 IPS Full HD 11.6""","R$ 1.690,22",DUO C464C,POSITIVO,3.5,https://www.americanas.com.br/produto/1885941991?pfm_index=11&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Dell Inspiron I15-3501-A10P Intel Pentium Gold-7505 4GB 128GB W10 HD 15.6"" Preto","R$ 2.689,99",i15-3501-A10P,DELL,4.3,https://www.americanas.com.br/produto/3251385611?pfm_index=12&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Acer A515-54g-53xp Ci5-10210u 8gb 256gbssd W10 15,6 Mx250-2gb","R$ 3.713,70",A515-54G-53XP,Acer,4.5,https://www.americanas.com.br/produto/3280454444?pfm_index=13&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Positivo Motion Q464C Intel Atom Quad Core 4GB 64GB eMMC 14,1'' W10 - Cinza","R$ 1.424,99",Motion Gray,Positivo,2.8,https://www.americanas.com.br/produto/2859505618?pfm_index=14&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ideapad 3i Intel Celeron-N4020 4GB 128GB SSD Tela 15,6"" Windows 11 - Prata","R$ 2.279,99",IdeaPad 3i,Lenovo,4.0,https://www.americanas.com.br/produto/4199005924?pfm_index=15&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad 3i I3-10110u 4GB 256GB SSD Tela 15,6"" Windows 11 - Prata","R$ 2.659,99",IdeaPad 3i,Lenovo,4.1,https://www.americanas.com.br/produto/4120059234?pfm_index=16&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Branco NP550XDA-KT2BR,"R$ 2.839,55",NP550XDA-KT2BR,Samsung,2.7,https://www.americanas.com.br/produto/3081358708?pfm_index=17&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Dell Inspiron I15-3583-AS90P 8ª Intel Core I7 8GB 256GB SSD 15,6"" W10","R$ 4.369,99",,Dell,2.9,https://www.americanas.com.br/produto/1936036537?pfm_index=18&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Acer Aspire Nitro 5 AN515-54-528V 9ª Intel Core i5 8GB (Geforce GTX1650 4GB) 1TB 128GB SSD 15.6 FHD W10 Preto,"R$ 5.338,28",Aspire Nitro 5,Acer,4.6,https://www.americanas.com.br/produto/2205323461?pfm_index=19&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Samsung Intel Celeron-6305 4GB 500GB W11 15,6"" Cinza Chumbo NP550XDA-KP1BR","R$ 2.184,04",NP550XDA-KP1BR,Samsung,5.0,https://www.americanas.com.br/produto/4100138568?pfm_index=20&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Multilaser PC135 Legacy Cloud Intel Atom-Z8350 2GB 64GB W10 14"" Vermelho","R$ 1.234,99",PC135,MULTILASER INDUSTRIAL S.A,3.3,https://www.americanas.com.br/produto/3480208176?pfm_index=21&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad 3i Intel Celeron-N4020 4GB 128GB SSD W10 15.6"" Prata","R$ 2.399,00",IdeaPad 3i,Lenovo,3.9,https://www.americanas.com.br/produto/3171323082?pfm_index=22&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i3-10110U 4GB 1TB W10 15.6"" Prata","R$ 2.999,00",IdeaPad 3i,Lenovo,3.4,https://www.americanas.com.br/produto/3171321520?pfm_index=23&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KT1BR,"R$ 3.099,00",NP550XDA-KT1BR,Samsung,3.0,https://www.americanas.com.br/produto/3081357828?pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Dell Inspiron I15-3501-A60P Intel Core i7-1165G7 8GB 256GB W10 15.6"" Preto","R$ 4.645,49",i15-3501-A60P,Dell,3.9,https://www.americanas.com.br/produto/3195771517?pfm_index=1&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Positivo Motion Gray C4500Ei Intel Celeron Dual Core N3350 4GB 500GB HD 14,1'' Led HD Linux Cinza","R$ 1.472,49",Motion,Positivo,2.5,https://www.americanas.com.br/produto/3205754439?pfm_index=2&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 7 8GB 512GB SSD W10 15.6""","R$ 3.799,99",Ideapad S145,Lenovo,3.8,https://www.americanas.com.br/produto/2751079750?pfm_index=3&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Multilaser PC134 Legacy Cloud Intel Atom-Z8350 2GB 64GB W10 14"" Cinza","R$ 1.234,99",PC134,MULTILASER INDUSTRIAL S.A,2.2,https://www.americanas.com.br/produto/3474930365?pfm_index=4&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Vaio FE15 Intel Core i3-10110U 4GB 128GB SSD Linux 15.6"" Chumbo Escuro","R$ 2.564,99",FE15,Positivo,3.9,https://www.americanas.com.br/produto/3529354706?pfm_index=5&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"MacBook Air 13"" Apple M1 (8GB 256GB) Prateado","R$ 8.074,99",MGN93BZ/A,Apple Computer Brasil,4.8,https://www.americanas.com.br/produto/2520061528?pfm_index=6&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad 3 AMD Ryzen 7 8GB 256GB SSD W10 15.6"" Prata","R$ 3.609,99",Ideapad 3,Lenovo,4.8,https://www.americanas.com.br/produto/3383639290?pfm_index=7&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Vaio FE14 VJFE42F11X-B1521H Intel Core i3-10110U 4GB 128GB SSD FHD Linux 14"" Chumbo Escuro","R$ 2.781,40",VJFE42F11X-B1521H,Positivo,3.8,https://www.americanas.com.br/produto/3386663498?pfm_index=8&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad S145 Intel Core i5-1035G1 8GB 256GB SSD W10 15.6"" Prata","R$ 3.799,00",ideapad S145,Lenovo,4.2,https://www.americanas.com.br/produto/3515105021?pfm_index=9&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Acer Aspire 5 A515-54-58kb Intel Core I5-10210u 8gb (uhd Intel) 512gb Ssd W10 15.6” Prata,"R$ 3.799,99",A515-54-58KB,Acer,4.7,https://www.americanas.com.br/produto/3735745046?pfm_index=10&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Multilaser PC302 2 Em 1 Intel Pentium-N3700 4GB 64GB W10 11.6"" Prata","R$ 1.472,49",PC302,MULTILASER INDUSTRIAL S.A,4.1,https://www.americanas.com.br/produto/3292807673?pfm_index=11&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Samsung Intel Core i5-1135G7 8GB 1TB W11 Branco NP550XDA-KH4BR,"R$ 3.703,09",NP550XDA-KH4BR,Samsung,5.0,https://www.americanas.com.br/produto/4100902811?pfm_index=12&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Acer AN515-55-51D3 Intel Core i5-10300H 8GB (GeForce GTX 1650) 512GB SSD W10 15,6'' - Black","R$ 5.129,99",AN515-55-51D3,Acer,4.6,https://www.americanas.com.br/produto/3735744983?pfm_index=13&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Ultra UB320 Intel Pentium-J3710 4GB 120GB W10 14"" - Preto","R$ 1.819,00",UB320,MULTILASER INDUSTRIAL S.A,3.7,https://www.americanas.com.br/produto/3240384314?pfm_index=14&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Acer Aspire 3 A315-56-304q Intel Core I3-1005g1 8gb (uhd Intel) 512gb Ssd W10 15.6” Cinza,"R$ 3.134,99",A315-56-304Q,Compalead,4.4,https://www.americanas.com.br/produto/3735745020?pfm_index=15&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Samsung Tela 11.6 N4000 32GB 4GBRAM Chromebook XE310XBA-KT1BR,"R$ 1.855,33",XE310XBA-KT1BR,Samsung,3.2,https://www.americanas.com.br/produto/3316799656?pfm_index=16&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Samsung Book NP550XDA-KF4BR Intel Core i5-1135G7 8GB 1TB (Intel Iris Xe) Tela 15.6''  Windows 10 FHD - Branco,"R$ 3.600,49",NP550XDA-KF4BR,Samsung,3.6,https://www.americanas.com.br/produto/3081358118?pfm_index=17&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Positivo Motion Q4128C Intel Atom-Z8350 4GB 128GB W10 14,1'' Dourado + Licença Office 365","R$ 1.680,47",Motion Q,Positivo,3.5,https://www.americanas.com.br/produto/3327921071?pfm_index=18&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Flash F30 Intel Celeron 4GB 64GB SSD Full HD  LED 13.3"" W10 Coral - Samsung","R$ 2.278,39",Notebook Samsung Flash,Samsung,3.8,https://www.americanas.com.br/produto/134187974?pfm_index=19&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Vaio FE14 VJFE42F11X-B0361H Intel Core i5-10210U 8GB 256GB FHD Linux 14"" Chumbo Escuro","R$ 3.134,99",VJFE42F11X-B0361H,VAIO,3.7,https://www.americanas.com.br/produto/3395139022?pfm_index=20&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Asus Vivobook X543MA-GQ1300T Intel Celeron-N4020 4GB 500GB W10 15.6"" Cinza Escuro","R$ 2.079,55",UHD600,ASUS,3.1,https://www.americanas.com.br/produto/3280462946?pfm_index=21&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Samsung Intel Celeron-6305 4GB 500GB W11 15,6"" NP550XDA-KP2BR - Branco","R$ 2.279,04",NP550XDA-KP2BR,Samsung,1.0,https://www.americanas.com.br/produto/4102214721?pfm_index=22&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"MacBook Air 13"" Apple M1 (8GB 256GB SSD) Cinza Espacial","R$ 8.074,99",MGN63BZ/A,Apple Computer Brasil,4.9,https://www.americanas.com.br/produto/2545080485?pfm_index=23&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Dell Inspiron i3501-U10P 15.6 HD 11ª Geração Intel Pentium Gold 4GB 128GB ssd Linux Preto,"R$ 2.991,55",,Dell,4.7,https://www.americanas.com.br/produto/3246712374?pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Acer Aspire 3 A315-23-R6HC AMD Ryzen 5-3500U 8 Gb (AMD Radeon Vega 8) 512gb SSD W10 15.6” - Preto,"R$ 3.384,84",A315-23-R6HC,Acer,4.6,https://www.americanas.com.br/produto/3895330755?pfm_index=1&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"MacBook Air 13"" M1 (8GB 256GB SSD) Dourado","R$ 8.889,95",MGND3BZ/A,Apple Computer Brasil,4.9,https://www.americanas.com.br/produto/2520060189?pfm_index=2&pfm_page=search&pfm_pos=grid&pfm_type=search_page
