preco,descricao,url,marca,modelo,rating
"R$ 4.179,90","Notebook Acer Aspire 3 AMD Ryzen 7-3700U 8GB, 256GB SSD, 15.6´ HD 1366x768, Windows 10 Home, Preto - A315-23-R3L9",https://www.kabum.com.br/produto/156097/notebook-acer-aspire-3-amd-ryzen-7-3700u-8gb-256gb-ssd-15-6-hd-1366x768-windows-10-home-preto-a315-23-r3l9,Acer,A315-23-R3L9,5.0
"R$ 2.769,90","Notebook Samsung Book E20 Intel Celeron 6305, 4GB, 500GB HD, 15,6´ LED Full HD, Windows 10 Home, Cinza Chumbo - NP550XDA-KO1BR",https://www.kabum.com.br/produto/156739/notebook-samsung-book-e20-intel-celeron-6305-4gb-500gb-hd-15-6-led-full-hd-windows-10-home-cinza-chumbo-np550xda-ko1br,Samsung,NP550XDA-KO1BR,
"R$ 3.519,90","Notebook Acer Aspire 5 Intel Core i5-10210U, 4GB RAM, SSD 256GB, 15.6 Full HD, Linux Endless, Prata - A515-54-5526",https://www.kabum.com.br/produto/184927/notebook-acer-aspire-5-intel-core-i5-10210u-4gb-ram-ssd-256gb-15-6-full-hd-linux-endless-prata-a515-54-5526,Acer,A515-54-5526,
"R$ 1.899,90","Notebook Positivo Motion Gray C41TEi Intel Celeron N3350, RAM 4GB, HD 1TB, 14.1´ HD , Linux, Cinza - 3001764",https://www.kabum.com.br/produto/157779/notebook-positivo-motion-gray-c41tei-intel-celeron-n3350-ram-4gb-hd-1tb-14-1-hd-linux-cinza-3001764,Positivo,3001764,
"R$ 3.559,90","Notebook Lenovo Ideapad S145 AMD Ryzen 5-3500U, Radeon RX Vega 8, 12GB RAM, 1TB HD, Linux, 15,6´ HD, Prata - 81V7S00000",https://www.kabum.com.br/produto/156933/notebook-lenovo-ideapad-s145-amd-ryzen-5-3500u-radeon-rx-vega-8-12gb-ram-1tb-hd-linux-15-6-hd-prata-81v7s00000,Lenovo,81V7S00000,5.0
"R$ 3.549,90","Notebook Samsung Book Intel Core I3-1115G4, 4GB RAM, 1TB HD, 15.6´ 1920 x1080 Full HD, Windows 10 Home, Prata - NP550XDA-KT1BR",https://www.kabum.com.br/produto/156737/notebook-samsung-book-intel-core-i3-1115g4-4gb-ram-1tb-hd-15-6-1920-x1080-full-hd-windows-10-home-prata-np550xda-kt1br,Samsung,NP550XDA-KT1BR,
"R$ 1.919,90","Notebook Positivo Motion Q Q4128C Intel Atom Quad Core, 4GB, 128GB, 14.1´ LED, Webcam HD, Windows 10 Home, Cinza - 3001925",https://www.kabum.com.br/produto/163627/notebook-positivo-motion-q-q4128c-intel-atom-quad-core-4gb-128gb-14-1-led-webcam-hd-windows-10-home-cinza-3001925,Positivo,3001925,4.0
"R$ 4.549,90","Notebook Lenovo BS145 Intel Core I5-1035G1, 8GB, 1TB, Windows 10 Pro, 15,6´ HD, Preto - 82HB000MBR",https://www.kabum.com.br/produto/133058/notebook-lenovo-bs145-intel-core-i5-1035g1-8gb-1tb-windows-10-pro-15-6-hd-preto-82hb000mbr,Lenovo,82HB000MBR,
"R$ 4.329,90","Notebook Vaio FE14 Intel Core i5-10210U, 8GB, 1TB HDD, Linux, 14, Full HD, Preto - 3341843",https://www.kabum.com.br/produto/196062/notebook-vaio-fe14-intel-core-i5-10210u-8gb-1tb-hdd-linux-14-full-hd-preto-3341843,,,
"R$ 3.489,90","Notebook Acer A514-53-31PN Intel Core i3-1005G1, 4GB, SSD 128GB, Windows 10 Home, Tela 14, Prata - NX.A3WAL.004",https://www.kabum.com.br/produto/235590/notebook-acer-a514-53-31pn-intel-core-i3-1005g1-4gb-ssd-128gb-windows-10-home-tela-14-prata-nx-a3wal-004,Acer,NX.A3WAL.004,
"R$ 4.449,90","Notebook Samsung Book Intel Core i5-1135G7, 8GB, 1TB HD, 15.6´ LED Full HD, Windows 10 Home, Cinza Chumbo - NP550XDA-KF1BR",https://www.kabum.com.br/produto/156738/notebook-samsung-book-intel-core-i5-1135g7-8gb-1tb-hd-15-6-led-full-hd-windows-10-home-cinza-chumbo-np550xda-kf1br,Samsung,NP550XDA-KF1BR,
"R$ 4.739,90","Notebook Vaio FE14 Intel Core i5-10210U, 8GB, 1TB HDD, Windows 10 Home, 14, Full HD, Preto - 3341860",https://www.kabum.com.br/produto/196063/notebook-vaio-fe14-intel-core-i5-10210u-8gb-1tb-hdd-windows-10-home-14-full-hd-preto-3341860,,,
"R$ 3.349,90","Notebook Acer Intel Core i3 1005G1, 8GB, SSD 256GB, 15.6, Full HD, Ultrafino, Cinza Escuro - A315-56-311J",https://www.kabum.com.br/produto/255433/notebook-acer-intel-core-i3-1005g1-8gb-ssd-256gb-15-6-full-hd-ultrafino-cinza-escuro-a315-56-311j,Acer,A315-56-311J ,
"R$ 5.199,90","Notebook Lenovo BS145 Intel Core i7-1065G7, 8GB, 256GB SSD, 15.6´Anti Reflexo, Windows 10 Pro - 82HB0008BR",https://www.kabum.com.br/produto/133524/notebook-lenovo-bs145-intel-core-i7-1065g7-8gb-256gb-ssd-15-6anti-reflexo-windows-10-pro-82hb0008br,e ganhe uma Mochila Lenovo ThinkPad 15.6 Basic. Promoção válida para compras realizadas no dia 05/10 até o dia 30/10 às 23:59h.,,
"R$ 3.239,90","Notebook Samsung Book Intel Core i3-1115G4, 4GB RAM, 256GB SSD, Linux, 15.6, LED, Full HD, Prata - NP550XDZ-KT6BR",https://www.kabum.com.br/produto/188070/notebook-samsung-book-intel-core-i3-1115g4-4gb-ram-256gb-ssd-linux-15-6-led-full-hd-prata-np550xdz-kt6br,Samsung,NP550XDZ-KT6BR,
"R$ 2.769,90","Notebook Samsung Book Intel Celeron 6305 Dual-Core, 4GB, SSD 128GB, Windows 10 Pro, Tela 15.6, Cinza Chumbo - NP550XDA-KO7BR",https://www.kabum.com.br/produto/231847/notebook-samsung-book-intel-celeron-6305-dual-core-4gb-ssd-128gb-windows-10-pro-tela-15-6-cinza-chumbo-np550xda-ko7br,Samsung,NP550XDA-KO7BR,
"R$ 3.459,90","Notebook Acer Aspire 3 Intel Core I3-1005G1, 4GB, 256GB SSD, 15.6´, Windows 10 Home - A315-56-330J",https://www.kabum.com.br/produto/134516/notebook-acer-aspire-3-intel-core-i3-1005g1-4gb-256gb-ssd-15-6-windows-10-home-a315-56-330j,Acer,A315-56-330J,5.0
"R$ 3.839,90","Notebook Acer Aspire 5 Intel Core i3-1005G1, RAM 8GB, SSD 512GB, Tela 14´, Windows 10, Prata - A514-53-339S",https://www.kabum.com.br/produto/150303/notebook-acer-aspire-5-intel-core-i3-1005g1-ram-8gb-ssd-512gb-tela-14-windows-10-prata-a514-53-339s,Acer,A514-53-339S,
"R$ 3.159,90","Notebook Lenovo Ideapad 3i Intel Core i3-10110U, UHD Graphics, 4GB RAM, 1TB HD, 15,6´ HD, Windows 10 Home, Prata - 82BS0002BR",https://www.kabum.com.br/produto/156934/notebook-lenovo-ideapad-3i-intel-core-i3-10110u-uhd-graphics-4gb-ram-1tb-hd-15-6-hd-windows-10-home-prata-82bs0002br,Lenovo,82BS0002BR,5.0
"R$ 2.579,90","Notebook Acer Aspire 3 Celeron, 4GB, 500GB, Windows 10 - A315-34-C5EY",https://www.kabum.com.br/produto/112982/notebook-acer-aspire-3-celeron-4gb-500gb-windows-10-a315-34-c5ey,Acer,A315-34-C5EY,4.0
"R$ 5.269,90","Notebook Gamer Lenovo Gaming 3i Intel Core i5-10300H, GTX 1650 4GB, 8GB RAM, 256GB SSD, Linux, 15.6´ Widescreen, Chameleon Blue - 82CGS00100",https://www.kabum.com.br/produto/156929/notebook-gamer-lenovo-gaming-3i-intel-core-i5-10300h-gtx-1650-4gb-8gb-ram-256gb-ssd-linux-15-6-widescreen-chameleon-blue-82cgs00100,Lenovo,82CGS00100,5.0
"R$ 5.699,90","Notebook Gamer Acer Intel Core i5, 8GB, 1TB, SSD 128GB, NVIDIA GTX 1650, Endless OS - AN515-54-58CL",https://www.kabum.com.br/produto/113441/notebook-gamer-acer-intel-core-i5-8gb-1tb-ssd-128gb-nvidia-gtx-1650-endless-os-an515-54-58cl,Acer,AN515-54-58CL,5.0
"R$ 5.699,90","Notebook Gamer Acer Nitro 5 Intel Core i5-10300H, NVIDIA GeForce GTX 1650, 8GB, SSD 512GB, 15.6 Full HD Ultrafino, Preto - AN515-55-51D3",https://www.kabum.com.br/produto/256129/notebook-gamer-acer-nitro-5-intel-core-i5-10300h-nvidia-geforce-gtx-1650-8gb-ssd-512gb-15-6-full-hd-ultrafino-preto-an515-55-51d3,Acer,NH.QD4AL.001 ,
"R$ 10.929,90","Notebook Gamer Gigabyte G5 Intel Core i5-10500H, 16GB, SSD 512GB, 15,6´ FHD 240Hz, Nvidia RTX 3060 6GB, Windows 10 Home, Preto - KC-5BR2130SH",https://www.kabum.com.br/produto/158000/notebook-gamer-gigabyte-g5-intel-core-i5-10500h-16gb-ssd-512gb-15-6-fhd-240hz-nvidia-rtx-3060-6gb-windows-10-home-preto-kc-5br2130sh,Gigabyte,KC-5BR2130SH,5.0
"R$ 6.769,90","Notebook Gamer Lenovo Intel Core i7-10750H, NVIDIA GeForce GTX 1650 4GB, 8GB, 512GB SSD, 15.6´, Win10 H, Azul - 82CG0005BR",https://www.kabum.com.br/produto/156345/notebook-gamer-lenovo-intel-core-i7-10750h-nvidia-geforce-gtx-1650-4gb-8gb-512gb-ssd-15-6-win10-h-azul-82cg0005br,Lenovo,82CG0005BR,5.0
"R$ 5.849,90","Notebook Gamer Acer Aspire Nitro 5, Intel Core i5-10300H, 8GB, 1TB HDD 256GB SSD, GTX 1650, 15.6 FHD, Windows 10 Home, Preto - AN515-55-54L9",https://www.kabum.com.br/produto/255427/notebook-gamer-acer-aspire-nitro-5-intel-core-i5-10300h-8gb-1tb-hdd-256gb-ssd-gtx-1650-15-6-fhd-windows-10-home-preto-an515-55-54l9,Acer,NH.QD4AL.002,
"R$ 6.119,90","Notebook Gamer Acer Nitro 5 AMD Ryzen 5 4600H, NVIDIA GeForce GTX 1650, 8GB RAM, SSD 512GB, 15.6, Windows 10, Preto - AN515-44-R54Q",https://www.kabum.com.br/produto/184889/notebook-gamer-acer-nitro-5-amd-ryzen-5-4600h-nvidia-geforce-gtx-1650-8gb-ram-ssd-512gb-15-6-windows-10-preto-an515-44-r54q,Acer,AN515-44-R54Q,5.0
"R$ 6.029,90","Notebook Gamer Acer Aspire Nitro 5 Intel Core i5, 8GB, 1TB, SSD 128GB, NVIDIA GTX 1650, Windows 10 - AN515-54-528V",https://www.kabum.com.br/produto/113442/notebook-gamer-acer-aspire-nitro-5-intel-core-i5-8gb-1tb-ssd-128gb-nvidia-gtx-1650-windows-10-an515-54-528v,Acer,AN515-54-528V,5.0
"R$ 8.489,90","Notebook Gamer Acer Nitro 5 Intel Core i7-10750H, GTX 1660TI 6GB, 8GB RAM, 512GB SSD, 15.6´, Win 10 Home, Preto/Vermelho - AN515-55-705U",https://www.kabum.com.br/produto/156190/notebook-gamer-acer-nitro-5-intel-core-i7-10750h-gtx-1660ti-6gb-8gb-ram-512gb-ssd-15-6-win-10-home-preto-vermelho-an515-55-705u,Acer,AN515-55-705U,5.0
"R$ 7.819,90","Notebook Gamer Acer Nitro 5, AMD Ryzen 7 4800H, 8GB, SSD 512GB, GTX 1650 Ti 4GB, 15,6´, Windows 10 Home, Preto e Vermelho - AN515-44-R8HN",https://www.kabum.com.br/produto/159820/notebook-gamer-acer-nitro-5-amd-ryzen-7-4800h-8gb-ssd-512gb-gtx-1650-ti-4gb-15-6-windows-10-home-preto-e-vermelho-an515-44-r8hn,Acer,AN515-44-R8HN,5.0
"R$ 5.699,90","Notebook Gamer Acer Aspire Nitro 5 AMD Ryzen 5 -3550H, 8GB, SSD 256GB, NVIDIA GeForce GTX 1650 4GB, Endless, 15.6´ - AN515-43-R9K7",https://www.kabum.com.br/produto/129122/notebook-gamer-acer-aspire-nitro-5-amd-ryzen-5-3550h-8gb-ssd-256gb-nvidia-geforce-gtx-1650-4gb-endless-15-6-an515-43-r9k7,Acer,AN515-43-R9K7,5.0
"R$ 10.469,90","Notebook Gamer XPG Xenia Gun Metal Intel Core i7-9750H, NVIDIA GeForce RTX2070, 16GB RAM, SSD 512GB, Windows 10 Home, 15.6, Preto - 15260024",https://www.kabum.com.br/produto/178263/notebook-gamer-xpg-xenia-gun-metal-intel-core-i7-9750h-nvidia-geforce-rtx2070-16gb-ram-ssd-512gb-windows-10-home-15-6-preto-15260024,XPG,15260024,
"R$ 5.998,90","Notebook Asus Gamer, Intel Core i5 9300H, 8GB, 256GB SSD, Tela 15,6"" Full HD 120Hz, NVIDIA GTX 1650, Windows 10 Home -  X571GT-AL887T",https://www.kabum.com.br/produto/133034/notebook-asus-gamer-intel-core-i5-9300h-8gb-256gb-ssd-tela-15-6-full-hd-120hz-nvidia-gtx-1650-windows-10-home-x571gt-al887t,Asus,X571-AL887T,5.0
"R$ 9.999,90","Ultrabook XPG Xenia XE Gaming 15.6´, Intel Core i5 1135G7, 8GB, SSD 1TB, Iris Xe, Touch Glass, Amazon Alexa - XENIAXe15TI5G11GXELX-SGCUS",https://www.kabum.com.br/produto/148805/ultrabook-xpg-xenia-xe-gaming-15-6-intel-core-i5-1135g7-8gb-ssd-1tb-iris-xe-touch-glass-amazon-alexa-xeniaxe15ti5g11gxelx-sgcus,XPG,XENIAXe15TI5G11GXELX-SGCUS,
"R$ 10.999,90","Ultrabook XPG Xenia XE Gaming 15,6´, Intel Core i7 1165G7, 16GB, SSD 1TB, Iris Xe, Touch Glass - XENIAXe15TI7G11GXELX-SGCUS",https://www.kabum.com.br/produto/148809/ultrabook-xpg-xenia-xe-gaming-15-6-intel-core-i7-1165g7-16gb-ssd-1tb-iris-xe-touch-glass-xeniaxe15ti7g11gxelx-sgcus,XPG,XENIAXe15TI7G11GXELX-SGCUS,
"R$ 9.269,10","Notebook Gamer Legion 5i, I7-10750H, 16GB, 1TB, 128GB SSD, RTX2060, 6GB, W10, 15.6'' Full HD WVA - 82cf0004br",https://www.kabum.com.br/produto/256773/notebook-gamer-legion-5i-i7-10750h-16gb-1tb-128gb-ssd-rtx2060-6gb-w10-15-6-full-hd-wva-82cf0004br,do Fornecedor,,
"R$ 6.399,00","Notebook Gamer Acer Nitro 5, Intel Core I7, 8GB, 512GB SSD, GTX 1650, 17.3"", Windows 10 Home - AN517-52-75WH",https://www.kabum.com.br/produto/275157/notebook-gamer-acer-nitro-5-intel-core-i7-8gb-512gb-ssd-gtx-1650-17-3-windows-10-home-an517-52-75wh,do Fornecedor,,
"R$ 5.449,00","Notebook Gamer Aspire Nitro 5 - An515-44-r5yz, Amd Ryzen 5, 16Gb, 512Gb, Ssd - Gtx1650 15,6'' Full Hd Endless",https://www.kabum.com.br/produto/254490/notebook-gamer-aspire-nitro-5-an515-44-r5yz-amd-ryzen-5-16gb-512gb-ssd-gtx1650-15-6-full-hd-endless,erModelo:Nitro5 AN515-44-R5YZ,"ções TécnicasCor : PretoSistema Operacional : Linux - EndlessPrazo de expedição : 3Placa de vídeo - Modelo : NVIDIA GeForce GTX 1650 com 4GBPlaca de vídeo : DedicadaTaxa de atualização : 144 HzResolução da tela : Full HD - 1920 x 1080Tela : 15,6 polegadasSistema Operacional : Linux Endless-OS",
